tempo,u1y1,u1y2,u2y1,u2y2,u3y1,u3y3
0,23994.627,0.286914,11997.313,0.143457,119973.13,1.43457
1,24053.918,0.286621,11997.198,0.1434565,111867.33,1.434685
2,24112.949,0.286418,11997.277,0.143456,113268.28,1.434935
3,24160.061,0.286233,12001.153,0.143456,114406.39,1.435295
4,24199.354,0.286065,12018.717,0.143458,115246.62,1.43578
5,24233.896,0.285913,12044.047,0.143462,115919.35,1.43638
6,24264.66,0.285775,12065.847,0.143466,116499.86,1.437065
7,24292.887,0.28565,12081.5,0.1434695,117031.15,1.43782
8,24318.529,0.285537,12092.077,0.1434715,117516.05,1.438625
9,24341.379,0.285435,12098.57,0.1434715,117943.06,1.439465
10,24360.836,0.285343,12101.251,0.143469,118299.92,1.44032
11,24376.717,0.285259,12100.472,0.1434635,118583.51,1.441175
12,24389.568,0.285183,12096.012,0.143455,118795.97,1.442015
13,24399.816,0.285113,12090.334,0.143444,118942.08,1.442835
14,24406.928,0.285048,12084.175,0.1434295,119029.83,1.443615
15,24411.652,0.284988,12076.536,0.1434125,119063.33,1.44435
16,24414.094,0.284932,12069.554,0.1433925,119025.93,1.44503
17,24414.592,0.28488,12062.773,0.1433705,118943.28,1.445655
18,24413.984,0.28483,12057.066,0.143346,118832.84,1.446215
19,24411.479,0.284782,12052.728,0.14332,118704.63,1.446715
20,24410.301,0.284737,12048.845,0.1432925,118564.06,1.447155
21,24407.818,0.284694,12046.445,0.143264,118419.01,1.44753
22,24403.77,0.284653,12044.31,0.143235,118285.73,1.447845
23,24400.318,0.284613,12043.26,0.143205,118170.15,1.44811
24,24396.992,0.284574,12043.254,0.143175,118077.57,1.44833
25,24393.814,0.284537,12044.031,0.1431455,117987.73,1.448505
26,24390.637,0.284501,12045.021,0.143116,117907.78,1.448635
27,24388.568,0.284466,12046.799,0.143087,117840.28,1.448735
28,24387.316,0.284434,12049.343,0.143059,117774.79,1.448805
29,24385.564,0.284402,12052.457,0.143032,117715.66,1.448845
30,24384.553,0.284372,12056.633,0.1430055,117674.38,1.448865
31,24381.129,0.284344,12061.573,0.1429805,117643.57,1.448865
32,24379.877,0.284316,12066.911,0.142957,117624.07,1.44885
33,24379.316,0.284291,12072.437,0.1429345,117616.25,1.44883
34,24378.818,0.284267,12078.352,0.142913,117612.23,1.4488
35,24378.9,0.284244,12084.092,0.1428935,117620.59,1.44877
36,24379.865,0.284224,12089.773,0.1428745,117635.94,1.448735
37,24381.197,0.284205,12095.006,0.1428565,117655.17,1.4487
38,24381.754,0.284189,12099.791,0.14284,117682.17,1.44867
39,24382.484,0.284174,12104.114,0.142824,117715.32,1.448645
40,24383.549,0.284161,12107.794,0.1428085,117750.51,1.448625
41,24385.412,0.284149,12111.021,0.1427935,117793.93,1.44861
42,24386.619,0.284139,12113.6,0.1427795,117840.24,1.448605
43,24387.844,0.28413,12115.971,0.1427655,117891.46,1.44861
44,24389.072,0.284123,12117.813,0.142752,117946.96,1.448615
45,24389.447,0.284117,12119.381,0.1427385,118001.86,1.44863
46,24390.625,0.284113,12120.671,0.1427255,118052.5,1.44865
47,24391.594,0.28411,12121.406,0.1427125,118101.09,1.448675
48,24392.352,0.284108,12121.972,0.1426995,118146.19,1.4487
49,24392.891,0.284107,12122.174,0.142687,118184.14,1.448725
50,24393.15,0.284107,12122.139,0.1426745,118217.19,1.448755
51,24391.516,0.284108,12121.709,0.1426615,118245.66,1.44878
52,24389.854,0.284109,12121.483,0.142649,118267.66,1.448805
53,24388.535,0.284111,12120.805,0.1426365,118280.91,1.44882
54,24387.971,0.284113,12121.092,0.142624,118292.17,1.448835
55,24386.93,0.284117,12121.25,0.1426115,118298.12,1.448845
56,24386.373,0.284121,12121.278,0.1425995,118297.66,1.44885
57,24386.23,0.284126,12121.731,0.1425875,118297.29,1.44885
58,24386.029,0.284132,12122.041,0.1425755,118290.03,1.44884
59,24385.25,0.284138,12122.427,0.142564,118284.67,1.44883
60,24384.723,0.284144,12122.718,0.1425525,118278.57,1.44881
61,24383.828,0.284151,12123.105,0.1425415,118273.81,1.44878
62,24381.873,0.284158,12123.562,0.1425305,118274.41,1.44875
63,24381.102,0.284165,12124.294,0.14252,118268.26,1.448715
64,24379.35,0.284173,12125.301,0.1425095,118261.58,1.448675
65,24377.889,0.28418,12126.321,0.1424995,118259.42,1.44863
66,24376.072,0.284188,12127.113,0.14249,118261.41,1.44858
67,24374.994,0.284196,12127.412,0.1424805,118258.2,1.448525
68,24372.91,0.284204,12127.712,0.1424715,118258.53,1.44847
69,24370.775,0.284212,12128.5,0.1424625,118262.07,1.448415
70,24369.24,0.28422,12129.723,0.142454,118266.37,1.448355
71,24367.188,0.284227,12131.043,0.142446,118265.85,1.448295
72,24364.975,0.284235,12132.162,0.142438,118270.51,1.448235
73,24363.305,0.284243,12132.81,0.1424305,118276.88,1.44817
74,24361.344,0.284251,12132.598,0.142423,118282.53,1.448105
75,24359.848,0.284259,12132.978,0.142416,118288.66,1.44804
76,24358.664,0.284267,12133.587,0.142409,118296.95,1.44798
77,24357.215,0.284275,12134.133,0.142402,118301.49,1.447915
78,24354.873,0.284284,12134.092,0.1423955,118310.6,1.44785
79,24353.846,0.284292,12134.206,0.142389,118320.53,1.44779
80,24352.783,0.284301,12134.665,0.1423825,118330.98,1.44773
81,24351.57,0.28431,12135.249,0.1423765,118341.44,1.447675
82,24350.418,0.284319,12135.634,0.142371,118353.67,1.44762
83,24349.033,0.284328,12136.226,0.1423655,118361.41,1.447565
84,24347.537,0.284336,12136.488,0.14236,118370.71,1.447505
85,24345.652,0.284345,12136.656,0.142355,118380.62,1.447455
86,24344.418,0.284353,12137.027,0.14235,118391.52,1.4474
87,24343.219,0.284363,12137.455,0.142345,118400.5,1.44735
88,24341.188,0.284372,12137.654,0.1423405,118408.11,1.447295
89,24340.375,0.284381,12137.893,0.142336,118416.93,1.447245
90,24336.572,0.284389,12138.043,0.1423315,118426.22,1.447195
91,24336.797,0.284398,12137.728,0.1423275,118435.8,1.44714
92,24335.471,0.284407,12137.978,0.1423235,118443.49,1.44709
93,24333.254,0.284416,12138.362,0.1423195,118449.87,1.44704
94,24331.025,0.284425,12138.834,0.1423155,118456.48,1.446995
95,24330.814,0.284435,12139.222,0.142312,118465.27,1.446945
96,24330.947,0.284445,12139.208,0.142309,118476.91,1.4469
97,24330.494,0.284454,12139.372,0.1423055,118487.68,1.44685
98,24329.275,0.284464,12139.493,0.1423025,118492.19,1.446805
99,24326.588,0.284474,12139.684,0.1422995,118495.17,1.446755
100,24325.258,0.284484,12139.819,0.1422965,118497.27,1.44671
101,24324.541,0.284493,12139.222,0.1422935,118501.51,1.44666
102,24323.9,0.284503,12139.415,0.142291,118504.91,1.446615
103,24322.344,0.284513,12139.683,0.1422885,118508.82,1.446565
104,24320.273,0.284522,12139.619,0.142286,118512.9,1.44652
105,24317.766,0.284532,12139.754,0.1422835,118520.25,1.44647
106,24317.221,0.284542,12139.762,0.142281,118524.98,1.446425
107,24316.334,0.284551,12139.767,0.1422785,118530.91,1.44638
108,24315.389,0.284561,12139.9,0.142276,118535.4,1.446335
109,24314.631,0.284571,12139.393,0.1422735,118540.52,1.446285
110,24314.912,0.28458,12139.087,0.1422715,118544.07,1.44624
111,24314.254,0.28459,12139.34,0.142269,118548.26,1.446195
112,24313.143,0.284599,12139.244,0.142267,118554.25,1.44615
113,24312.252,0.284608,12139.486,0.142265,118560.53,1.44611
114,24310.578,0.284618,12139.838,0.142263,118564.86,1.446065
115,24310.016,0.284626,12140.274,0.1422615,118569.38,1.44602
116,24307.635,0.284635,12140.206,0.1422595,118570.41,1.44598
117,24306.713,0.284645,12140.164,0.142258,118571.13,1.44594
118,24306.189,0.284654,12140.404,0.1422565,118573.94,1.4459
119,24304.486,0.284662,12140.332,0.142255,118576.76,1.44586
120,24303.719,0.284671,12140.666,0.1422535,118580.84,1.44582
121,24301.996,0.28468,12140.479,0.1422525,118585.39,1.445785
122,24301.219,0.284688,12140.468,0.142251,118591.27,1.445745
123,24301.203,0.284696,12140.532,0.14225,118594.22,1.44571
124,24300.514,0.284704,12140.369,0.1422485,118595.45,1.44567
125,24299.807,0.284712,12140.449,0.1422475,118596.8,1.44563
126,24297.463,0.28472,12140.671,0.1422465,118603.07,1.445595
127,24295.018,0.284728,12141.028,0.1422455,118610.33,1.44556
128,24292.422,0.284736,12140.728,0.1422445,118615.57,1.445525
129,24291.521,0.284744,12140.896,0.142243,118621.68,1.44549
130,24290.928,0.284751,12140.389,0.1422425,118624.36,1.44546
131,24290.475,0.284759,12140.427,0.1422415,118628,1.445425
132,24290.908,0.284766,12140.409,0.1422405,118633.07,1.445395
133,24291.457,0.284773,12140.296,0.14224,118631.77,1.44536
134,24291.871,0.284781,12140.233,0.142239,118635.76,1.44533
135,24290.545,0.284789,12140.312,0.1422385,118641.74,1.4453
136,24289.982,0.284797,12140.47,0.1422375,118652.22,1.44527
137,24288.279,0.284805,12140.354,0.1422365,118660.81,1.445245
138,24287.08,0.284812,12140.596,0.142236,118663.14,1.445215
139,24287.273,0.28482,12140.268,0.142235,118659.39,1.445185
140,24285.471,0.284827,12140.3,0.1422345,118660.43,1.445155
141,24284.934,0.284834,12140.253,0.1422335,118663.96,1.445125
142,24283.367,0.284841,12140.554,0.142233,118669.09,1.4451
143,24282.514,0.284847,12140.707,0.142232,118675.85,1.44507
144,24281.342,0.284854,12140.645,0.1422315,118680.88,1.44504
145,24281.264,0.284861,12140.854,0.142231,118682.29,1.445015
146,24280.418,0.284868,12140.637,0.1422305,118678.52,1.44499
147,24279.52,0.284874,12140.75,0.14223,118677.71,1.44496
148,24278.367,0.28488,12140.779,0.1422295,118683.33,1.444935
149,24277.887,0.284886,12140.965,0.142229,118686.3,1.44491
150,24276.932,0.284892,12141.032,0.1422285,118689.15,1.44488
151,24275.301,0.284898,12141.017,0.142228,118686.26,1.444855
152,24273.684,0.284904,12141.095,0.1422275,118687.46,1.44483
153,24272.328,0.284911,12141.052,0.142227,118692.01,1.444805
154,24269.941,0.284916,12140.701,0.1422265,118696.81,1.44478
155,24269.736,0.284922,12140.483,0.1422265,118701.99,1.444755
156,24269.477,0.284928,12140.549,0.1422255,118704.4,1.44473
157,24269.846,0.284934,12140.795,0.1422255,118707.5,1.444705
158,24269.674,0.28494,12140.899,0.142225,118708.54,1.44468
159,24269.828,0.284946,12141.042,0.1422245,118708.1,1.44466
160,24270.264,0.284952,12140.932,0.142224,118710.46,1.444635
161,24269.545,0.284957,12140.686,0.142224,118713.71,1.44461
162,24269.146,0.284963,12140.708,0.1422235,118715.6,1.444585
163,24268.484,0.284969,12140.624,0.142223,118713.12,1.444565
164,24267.596,0.284974,12140.94,0.1422225,118711.79,1.44454
165,24267.08,0.28498,12140.864,0.1422225,118710.89,1.44452
166,24266.666,0.284986,12140.82,0.142222,118715.2,1.444495
167,24266.061,0.284991,12140.858,0.142222,118717.31,1.444475
168,24266.801,0.284997,12141.076,0.1422215,118718.6,1.444455
169,24266.465,0.285002,12140.874,0.1422215,118719.31,1.44444
170,24266.758,0.285007,12141.005,0.142221,118722.15,1.44442
171,24264.869,0.285013,12141.298,0.1422205,118725.24,1.4444
172,24263.227,0.285018,12141.375,0.1422205,118729.79,1.444385
173,24261.588,0.285022,12140.938,0.14222,118738.62,1.444365
174,24260.141,0.285027,12140.925,0.1422195,118742.2,1.44435
175,24259.098,0.285031,12140.859,0.1422195,118740.95,1.444335
176,24258.625,0.285035,12141.02,0.142219,118739.86,1.44432
177,24257.943,0.28504,12140.618,0.1422185,118738.82,1.444305
178,24257.586,0.285044,12140.608,0.142218,118739.56,1.44429
179,24256.672,0.285049,12140.92,0.142218,118741.79,1.44428
180,24255.703,0.285053,12141.136,0.1422175,118742.19,1.444265
181,24254.83,0.285058,12141.369,0.1422175,118741.68,1.44425
182,24254.135,0.285063,12141.501,0.142217,118743.57,1.44424
183,24254.18,0.285067,12140.981,0.142217,118744.86,1.444225
184,24253.93,0.285072,12140.807,0.142217,118744.71,1.44421
185,24254.412,0.285076,12140.886,0.1422165,118744.99,1.4442
186,24254.088,0.285081,12141.009,0.1422165,118746.44,1.444185
187,24254.479,0.285085,12141.254,0.142216,118748.95,1.444175
188,24254.836,0.28509,12141.103,0.142216,118752.8,1.444165
189,24254.467,0.285094,12140.956,0.1422155,118758.01,1.44416
190,24253.908,0.285099,12141.12,0.142215,118759.66,1.44415
191,24253.408,0.285103,12141.139,0.142215,118761.58,1.44414
192,24253.572,0.285107,12141.132,0.1422145,118760.66,1.444125
193,24252.42,0.285111,12141.312,0.1422145,118758.39,1.44412
194,24250.633,0.285115,12141.113,0.142214,118760.22,1.444105
195,24249.533,0.285119,12141.232,0.142214,118758.89,1.444095
196,24248.926,0.285123,12141.477,0.142214,118760.61,1.444085
197,24247.873,0.285127,12141.376,0.1422135,118761.93,1.444075
198,24247.941,0.285131,12141.399,0.1422135,118764.53,1.444065
199,24247.039,0.285135,12141.596,0.142213,118766.27,1.444055
200,24246.354,0.285139,12141.777,0.142213,118762.88,1.444045
201,24245.973,0.285143,12141.983,0.142213,118762.06,1.44404
202,24246.111,0.285147,12141.778,0.1422125,118764.27,1.44403
203,24245.754,0.285151,12141.712,0.1422125,118764.6,1.444025
204,24245.488,0.285154,12141.915,0.142212,118766.35,1.444015
205,24245.449,0.285158,12141.421,0.142212,118767.05,1.44401
206,24245.559,0.285161,12141.691,0.1422115,118769.38,1.444
207,24246.246,0.285165,12141.875,0.142211,118768.74,1.443995
208,24245.557,0.285169,12141.758,0.1422105,118765.19,1.443985
209,24244.287,0.285173,12142.044,0.1422105,118764.27,1.44398
210,24243.826,0.285177,12141.954,0.14221,118759.57,1.44397
211,24243.879,0.285181,12142.161,0.1422095,118765.76,1.44396
212,24242.627,0.285185,12142.284,0.142209,118771.9,1.443955
213,24241.385,0.285188,12142.277,0.142209,118770.68,1.44395
214,24241.639,0.285192,12142.138,0.1422085,118772.13,1.443945
215,24241.992,0.285196,12142.457,0.1422085,118764.66,1.44394
216,24241.852,0.2852,12142.491,0.142208,118765.08,1.44393
217,24240.74,0.285203,12142.39,0.142208,118769.03,1.443925
218,24239.99,0.285206,12142.573,0.1422075,118775.13,1.44392
219,24239.543,0.285209,12142.569,0.142207,118775.06,1.443915
220,24239.262,0.285212,12142.424,0.142207,118773.46,1.44391
221,24238.42,0.285215,12142.218,0.1422065,118775.27,1.443905
222,24237.793,0.285218,12142.52,0.142206,118772.57,1.4439
223,24238.037,0.285221,12142.719,0.1422055,118772.25,1.443895
224,24238.584,0.285224,12142.723,0.142205,118775.83,1.44389
225,24238.34,0.285227,12142.73,0.1422045,118778.47,1.443885
226,24237.391,0.28523,12142.917,0.1422045,118773.14,1.44388
227,24237.383,0.285232,12142.708,0.142204,118774.26,1.443875
228,24237.227,0.285235,12142.771,0.142203,118775.5,1.44387
229,24236.699,0.285238,12142.763,0.1422025,118780.32,1.443865
230,24236.219,0.285241,12142.861,0.1422025,118781.2,1.44386
231,24236.428,0.285243,12143.28,0.142202,118778.9,1.443855
232,24236.355,0.285246,12143.059,0.1422015,118778.66,1.44385
233,24235.938,0.285249,12143.297,0.142201,118776.85,1.443845
234,24235.977,0.285252,12143.226,0.142201,118775.19,1.44384
235,24235.598,0.285255,12142.911,0.142201,118774.97,1.443835
236,24233.922,0.285258,12143.156,0.1422005,118779.91,1.443835
237,24233.885,0.285261,12143.284,0.1422,118783.22,1.44383
238,24233.904,0.285264,12143.146,0.1421995,118783.07,1.443825
239,24233.598,0.285267,12143.025,0.1421995,118783.31,1.44382
240,24232.004,0.28527,12143.405,0.142199,118783.68,1.443815
241,24232.334,0.285272,12143.613,0.1421985,118781.08,1.443815
242,24232.582,0.285275,12143.782,0.1421985,118778.33,1.44381
243,24232.371,0.285277,12143.793,0.142198,118779.87,1.44381
244,24232.086,0.285279,12143.677,0.1421975,118781.04,1.443805
245,24231.699,0.285282,12143.848,0.142197,118780.22,1.4438
246,24230.738,0.285284,12144.111,0.1421965,118782.15,1.4438
247,24231.014,0.285286,12144.25,0.142196,118781.67,1.443795
248,24231.059,0.285289,12144.404,0.1421955,118781.2,1.443795
249,24230.379,0.285291,12144.506,0.142195,118786.91,1.443795
250,24230.096,0.285294,12144.476,0.1421945,118792.21,1.443795
